"TimeCreated","DestinationHostname","TransportLayerProtocol","ClientIP","EventID"
"9/5/2018 8:25:48 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:57670","131"
"9/5/2018 4:04:03 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:52830","131"
"9/5/2018 3:43:15 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:52548","131"
"9/5/2018 3:07:57 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:51297","131"
"9/5/2018 2:17:30 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:50135","131"
"9/5/2018 2:02:08 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:49530","131"
"9/5/2018 1:50:45 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:49202","131"
"9/1/2018 12:44:36 AM","base-rd-01.shieldbase.lan","TCP","172.16.4.5:62057","131"
"8/31/2018 8:33:43 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:63815","131"
"8/31/2018 8:28:03 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:63728","131"
"8/31/2018 5:20:58 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:61973","131"
"8/31/2018 4:50:49 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:61274","131"
"8/28/2018 11:38:46 PM","base-rd-01.shieldbase.lan","TCP","172.16.6.14:58841","131"
"8/2/2018 5:19:25 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:53785","131"
"8/2/2018 5:19:25 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:61193","131"
"8/2/2018 5:19:16 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:61135","131"
"7/31/2018 8:55:54 PM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:64683","131"
"7/31/2018 8:55:53 PM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:50798","131"
"7/31/2018 8:55:45 PM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:50790","131"
"7/30/2018 6:35:32 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.11]:56746","131"
"7/30/2018 6:35:31 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.11:51204","131"
"7/30/2018 6:35:20 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.11:51144","131"
"7/28/2018 2:14:39 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:62030","131"
"7/28/2018 2:14:38 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:63101","131"
"7/28/2018 2:14:29 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:63082","131"
"7/26/2018 6:26:48 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:57042","131"
"7/26/2018 6:26:47 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:52091","131"
"7/26/2018 6:26:40 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:52068","131"
"7/26/2018 6:26:16 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:54884","131"
"7/26/2018 6:26:15 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:51983","131"
"7/26/2018 6:26:09 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:51957","131"
"7/26/2018 5:43:42 AM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:65468","131"
"7/26/2018 5:43:41 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:51927","131"
"7/26/2018 5:43:33 AM","base-rd-01.shieldbase.lan","TCP","192.168.30.10:51901","131"
"7/23/2018 6:24:06 PM","base-rd-01.shieldbase.lan","UDP","[192.168.30.10]:65464","131"
