TimeGenerated,EventID,ConnectionType,CLientIP
2021-08-05 00:02:07,131,TCP,192.168.1.9:52576
2021-08-05 09:23:39,131,TCP,192.168.1.9:59918
2021-08-05 09:24:04,131,TCP,192.168.1.9:56150
2021-08-05 11:30:32,131,TCP,192.168.1.9:52510
2021-08-05 11:30:41,131,TCP,192.168.1.9:52519
2021-08-05 18:18:50,131,TCP,192.168.1.9:52106
2021-08-05 18:24:19,131,TCP,192.168.1.9:62990
2021-08-06 21:57:04,131,TCP,192.168.1.9:49193
2021-08-15 17:55:14,131,TCP,192.168.1.9:50846
2021-08-15 20:34:16,131,TCP,192.168.1.9:55069
2021-08-15 20:35:10,131,TCP,192.168.1.9:52289
2021-08-15 20:42:51,131,TCP,192.168.1.9:53535
2021-08-15 20:45:28,131,TCP,192.168.1.9:65212
2021-08-15 20:46:05,131,TCP,192.168.1.9:50825
2021-08-22 13:15:14,131,TCP,192.168.1.9:61618
2021-08-22 13:21:14,131,TCP,192.168.1.9:58047
2021-08-25 17:00:06,131,TCP,192.168.1.9:53684
2021-08-25 17:00:27,131,TCP,192.168.1.9:53691
2021-09-01 16:38:35,131,TCP,192.168.1.9:65406
2021-09-12 15:03:21,131,TCP,192.168.1.9:63841
2021-09-12 19:18:46,131,TCP,192.168.1.9:57524
2021-09-20 10:50:21,131,TCP,192.168.1.9:54386
